Year,GPDIBL,GPDIM,GDPB,GDPM
1990.00,886.60,886600.00,7112.50,7112500.00
1991.00,829.10,829100.00,7100.50,7100500.00
1992.00,878.30,878300.00,7336.60,7336600.00
1993.00,953.50,953500.00,7532.70,7532700.00
1994.00,1042.30,1042300.00,7835.50,7835500.00
1995.00,1109.60,1109600.00,8031.70,8031700.00
1996.00,1209.20,1209200.00,8328.90,8328900.00
1997.00,1320.60,1320600.00,8703.50,8703500.00
1998.00,1455.00,1455000.00,9066.90,9066900.00
1999.00,1576.30,1576300.00,9470.30,9470300.00
2000.00,1679.00,1679000.00,9817.00,9817000.00
2001.00,1629.40,1629400.00,9890.70,9890700.00
2002.00,1544.60,1544600.00,10048.80,10048800.00
2003.00,1596.90,1596900.00,10301.00,10301000.00
2004.00,1713.90,1713900.00,10703.50,10703500.00
2005.00,1842.00,1842000.00,11048.60,11048600.00
